cat,stream,next_stream,prev_str01,prev_str02,strahler,horton,shreve,hack,topo_dim,scheidegger,drwal_old,length,stright,sinosoid,cum_length,flow_accum,out_dist,source_elev,outlet_elev,elev_drop,out_drop,gradient
19,19,32,0,0,1,1,1,3,37,2,1,775.593739,696.832334,1.113028,775.593739,4636.608697,100711.020195,622.593323,579.796021,44.345947,1.548645,0.057177
19,19,32,0,0,1,1,1,3,37,2,1,775.593739,696.832334,1.113028,775.593739,4636.608697,100711.020195,622.593323,579.796021,44.345947,1.548645,0.057177
20,20,84,0,0,1,1,1,2,50,2,1,4911.102143,3954.759501,1.241821,4911.102143,11192.615062,133050.54997,620.711731,463.425415,157.578674,0.292358,0.032086
20,20,84,0,0,1,1,1,2,50,2,1,4911.102143,3954.759501,1.241821,4911.102143,11192.615062,133050.54997,620.711731,463.425415,157.578674,0.292358,0.032086
21,21,284,0,0,1,1,1,2,36,2,1,5590.952362,4092.409998,1.366176,5590.952362,17975.820551,95544.254133,618.223145,238.026306,382.255783,2.058945,0.06837
21,21,284,0,0,1,1,1,2,36,2,1,5590.952362,4092.409998,1.366176,5590.952362,17975.820551,95544.254133,618.223145,238.026306,382.255783,2.058945,0.06837
22,22,112,0,0,1,2,1,3,26,2,1,5012.928185,2808.493872,1.784917,5012.928185,17788.161151,65545.868246,616.940674,443.961731,174.660187,1.681244,0.034842
22,22,112,0,0,1,2,1,3,26,2,1,5012.928185,2808.493872,1.784917,5012.928185,17788.161151,65545.868246,616.940674,443.961731,174.660187,1.681244,0.034842
23,23,35,15,8,2,2,2,3,31,4,2,1300.829103,1178.621835,1.103687,3206.076789,21585.475673,75051.339651,616.245911,571.60791,46.551514,1.913513,0.035786
23,23,35,15,8,2,2,2,3,31,4,2,1300.829103,1178.621835,1.103687,3206.076789,21585.475673,75051.339651,616.245911,571.60791,46.551514,1.913513,0.035786
24,24,102,0,0,1,1,1,2,49,2,1,4321.046231,3234.90349,1.335757,4321.046231,6650.961562,128691.077598,615.792603,449.887024,166.726379,0.820801,0.038585
24,24,102,0,0,1,1,1,2,49,2,1,4321.046231,3234.90349,1.335757,4321.046231,6650.961562,128691.077598,615.792603,449.887024,166.726379,0.820801,0.038585
25,25,58,0,0,1,3,1,2,55,2,1,5570.185334,3726.194794,1.494872,5570.185334,16545.272458,143004.72629,612.608643,506.843811,106.929688,1.164856,0.019197
25,25,58,0,0,1,3,1,2,55,2,1,5570.185334,3726.194794,1.494872,5570.185334,16545.272458,143004.72629,612.608643,506.843811,106.929688,1.164856,0.019197
26,26,98,0,0,1,3,1,2,44,2,1,4140.813947,3015.091671,1.373363,4140.813947,18805.261982,112771.443513,609.256226,457.085846,152.589783,0.419403,0.03685
26,26,98,0,0,1,3,1,2,44,2,1,4140.813947,3015.091671,1.373363,4140.813947,18805.261982,112771.443513,609.256226,457.085846,152.589783,0.419403,0.03685
27,27,88,0,0,1,1,1,3,29,2,1,1015.019192,813.101967,1.24833,1015.019192,18302.063985,70583.636879,594.515991,459.909546,139.97113,5.364685,0.1379
27,27,88,0,0,1,1,1,3,29,2,1,1015.019192,813.101967,1.24833,1015.019192,18302.063985,70583.636879,594.515991,459.909546,139.97113,5.364685,0.1379
28,28,117,0,0,1,1,1,3,28,2,1,1540.254556,1281.420586,1.20199,1540.254556,9238.533799,70403.404596,594.475586,436.462585,158.529388,0.516388,0.102924
28,28,117,0,0,1,1,1,3,28,2,1,1540.254556,1281.420586,1.20199,1540.254556,9238.533799,70403.404596,594.475586,436.462585,158.529388,0.516388,0.102924
29,29,101,0,0,1,1,1,3,49,2,1,4940.149321,3789.87286,1.303513,4940.149321,11433.030234,130060.478834,592.517883,451.010132,141.96402,0.456268,0.028737
29,29,101,0,0,1,1,1,3,49,2,1,4940.149321,3789.87286,1.303513,4940.149321,11433.030234,130060.478834,592.517883,451.010132,141.96402,0.456268,0.028737
30,30,395,0,0,1,1,1,3,20,2,1,5392.605822,4404.78287,1.224261,5392.605822,16620.54511,52694.711538,585.43042,139.845306,446.60849,1.023376,0.082819
30,30,395,0,0,1,1,1,3,20,2,1,5392.605822,4404.78287,1.224261,5392.605822,16620.54511,52694.711538,585.43042,139.845306,446.60849,1.023376,0.082819
31,31,46,0,0,1,1,1,4,55,2,1,1246.164496,1120.44179,1.112208,1246.164496,5458.450714,139288.098644,580.888855,537.074646,43.81488,0.000671,0.03516
31,31,46,0,0,1,1,1,4,55,2,1,1246.164496,1120.44179,1.112208,1246.164496,5458.450714,139288.098644,580.888855,537.074646,43.81488,0.000671,0.03516
32,32,80,19,13,2,2,2,2,36,4,2,3694.761804,3154.324867,1.171332,8131.541604,38340.311564,99935.426456,578.247375,469.849182,108.960022,0.561829,0.02949
32,32,80,19,13,2,2,2,2,36,4,2,3694.761804,3154.324867,1.171332,8131.541604,38340.311564,99935.426456,578.247375,469.849182,108.960022,0.561829,0.02949
33,33,162,1,4,2,2,2,2,44,4,2,4630.597776,4048.337593,1.143827,7065.609391,20114.948972,121064.004329,572.929382,410.268219,163.229858,0.568695,0.03525
33,33,162,1,4,2,2,2,2,44,4,2,4630.597776,4048.337593,1.143827,7065.609391,20114.948972,121064.004329,572.929382,410.268219,163.229858,0.568695,0.03525
34,34,70,0,0,1,1,1,3,52,2,1,3623.858733,3008.730833,1.204448,3623.858733,10469.190007,134524.43002,572.905701,484.337616,95.595001,7.026917,0.026379
34,34,70,0,0,1,1,1,3,52,2,1,3623.858733,3008.730833,1.204448,3623.858733,10469.190007,134524.43002,572.905701,484.337616,95.595001,7.026917,0.026379
35,35,42,23,18,3,3,4,2,30,8,3,1142.462662,1055.776271,1.082107,4702.59966,25811.936579,73750.510548,569.694397,549.987183,19.707886,0.000671,0.01725
35,35,42,23,18,3,3,4,2,30,8,3,1142.462662,1055.776271,1.082107,4702.59966,25811.936579,73750.510548,569.694397,549.987183,19.707886,0.000671,0.01725
36,36,169,0,0,1,2,1,2,32,2,1,1160.576919,1030.734535,1.125971,1160.576919,8111.682735,77104.476,566.454224,396.994537,170.118347,0.658661,0.146581
36,36,169,0,0,1,2,1,2,32,2,1,1160.576919,1030.734535,1.125971,1160.576919,8111.682735,77104.476,566.454224,396.994537,170.118347,0.658661,0.146581
37,37,198,0,0,1,1,1,3,27,2,1,1258.97321,1122.30557,1.121774,1258.97321,7912.204015,67393.021576,564.253967,363.956451,203.86145,3.563934,0.161927
37,37,198,0,0,1,1,1,3,27,2,1,1258.97321,1122.30557,1.121774,1258.97321,7912.204015,67393.021576,564.253967,363.956451,203.86145,3.563934,0.161927
38,38,44,0,0,1,1,1,2,54,2,1,630.812991,584.2651,1.079669,630.812991,4174.335534,141966.742441,560.796448,540.450928,21.237183,0.891663,0.033666
38,38,44,0,0,1,1,1,2,54,2,1,630.812991,584.2651,1.079669,630.812991,4174.335534,141966.742441,560.796448,540.450928,21.237183,0.891663,0.033666
39,39,45,0,0,1,1,1,2,53,2,1,881.171366,739.514568,1.191554,881.171366,3813.914005,141362.323857,560.144531,537.554626,22.590576,0.000671,0.025637
39,39,45,0,0,1,1,1,2,53,2,1,881.171366,739.514568,1.191554,881.171366,3813.914005,141362.323857,560.144531,537.554626,22.590576,0.000671,0.025637
40,40,58,0,0,1,1,1,3,55,2,1,1373.607966,1133.423894,1.21191,1373.607966,4711.168201,138808.148923,555.81543,507.452515,50.136475,1.77356,0.0365
40,40,58,0,0,1,1,1,3,55,2,1,1373.607966,1133.423894,1.21191,1373.607966,4711.168201,138808.148923,555.81543,507.452515,50.136475,1.77356,0.0365
41,41,50,0,0,1,2,1,3,48,2,1,753.727896,634.015407,1.188816,753.727896,2794.75936,127610.782713,552.480713,516.699036,38.43811,2.656433,0.050997
41,41,50,0,0,1,2,1,3,48,2,1,753.727896,634.015407,1.188816,753.727896,2794.75936,127610.782713,552.480713,516.699036,38.43811,2.656433,0.050997
42,42,88,35,14,3,3,5,2,29,10,3,3039.430199,2514.543477,1.20874,7742.029859,34653.572999,72608.047886,549.986511,460.120911,95.44165,5.57605,0.031401
42,42,88,35,14,3,3,5,2,29,10,3,3039.430199,2514.543477,1.20874,7742.029859,34653.572999,72608.047886,549.986511,460.120911,95.44165,5.57605,0.031401
43,43,98,0,0,1,1,1,3,44,2,1,2079.075613,1709.738318,1.21602,2079.075613,23300.947563,110709.705178,548.161011,456.725586,91.494568,0.059143,0.044007
43,43,98,0,0,1,1,1,3,44,2,1,2079.075613,1709.738318,1.21602,2079.075613,23300.947563,110709.705178,548.161011,456.725586,91.494568,0.059143,0.044007
44,44,45,38,11,2,4,2,1,53,4,2,854.776959,802.754542,1.064805,5632.031276,24655.444348,141335.929451,539.559265,537.554443,2.00531,0.000488,0.002346
44,44,45,38,11,2,4,2,1,53,4,2,854.776959,802.754542,1.064805,5632.031276,24655.444348,141335.929451,539.559265,537.554443,2.00531,0.000488,0.002346
45,45,56,39,44,2,4,3,1,52,6,2,3362.567437,2535.099986,1.326404,8994.598713,19739.625013,140481.152491,537.553955,509.434235,28.714905,0.595184,0.00854
45,45,56,39,44,2,4,3,1,52,6,2,3362.567437,2535.099986,1.326404,8994.598713,19739.625013,140481.152491,537.553955,509.434235,28.714905,0.595184,0.00854
46,46,63,9,31,2,2,2,3,54,4,2,4190.173011,3663.787058,1.143673,6990.177756,5726.962773,138041.934148,537.073975,491.546143,45.8367,0.308868,0.010939
46,46,63,9,31,2,2,2,3,54,4,2,4190.173011,3663.787058,1.143673,6990.177756,5726.962773,138041.934148,537.073975,491.546143,45.8367,0.308868,0.010939
47,47,50,0,0,1,1,1,4,48,2,1,626.284427,512.486678,1.22205,626.284427,9361.127691,127483.339243,536.790771,515.02478,22.748169,0.982178,0.036322
47,47,50,0,0,1,1,1,4,48,2,1,626.284427,512.486678,1.22205,626.284427,9361.127691,127483.339243,536.790771,515.02478,22.748169,0.982178,0.036322
48,48,56,0,0,1,1,1,2,52,2,1,912.094337,813.101967,1.121747,912.094337,17451.646978,138030.679391,532.865356,510.022308,24.026306,1.183258,0.026342
48,48,56,0,0,1,1,1,2,52,2,1,912.094337,813.101967,1.121747,912.094337,17451.646978,138030.679391,532.865356,510.022308,24.026306,1.183258,0.026342
49,49,180,0,0,1,1,1,3,41,2,1,3688.357447,3083.969293,1.195977,3688.357447,14084.370056,106724.283065,532.191711,391.27771,142.22702,1.313019,0.038561
49,49,180,0,0,1,1,1,3,41,2,1,3688.357447,3083.969293,1.195977,3688.357447,14084.370056,106724.283065,532.191711,391.27771,142.22702,1.313019,0.038561
50,50,111,47,41,2,2,2,3,47,4,2,3712.099082,2694.428126,1.377695,4465.826978,52906.748508,126857.054817,514.042603,446.055817,67.987427,0.000641,0.018315
